"Journal No.","Conditions of Sale","ISSN","Journal Title","Remarks","Vol.     
Nos","Total no. of Vols","Issues P/A","Rest of World - USD","USA - USD","Canada - USD","Mexico - USD","Subject Area         "
08665,"Oxford","0380-1330","Journal of Great Lakes Research",,"36",1,4,"515",,,,"Environmental Sciences"
13136,"Orlando, FL","0363-5023","Journal of Hand Surgery (American Volume)",,"35",1,10,"851",653,,,"Medicine"
14016,"Orlando, FL","0894-1130","Journal of Hand Therapy",,"23",1,4,"211",176,,,"Medicine"
05162,"Oxford","0304-3894","Journal of Hazardous Materials",,"171-181",11,33,"4641",,,,"Chemistry and Chemical Engineering"
05393,"Oxford","0167-6296","Journal of Health Economics
For iHEA member subscriptions, please visit http:// www.healtheconomics.org",,"29",1,6,"1527",,,,"Economics, Business and Management"
08145,"Oxford","0168-8278","Journal of Hepatology",,"52-53",2,13,"1199",,,,"Medicine"
12647,"Oxford","0305-7488","Journal of Historical Geography",,"36",1,4,"492",,,,"Social and Behavioral Sciences"
12637,"Oxford","0195-6701","Journal of Hospital Infection",,"74-76",3,12,"1210",,,,"Medicine"
12070,"Oxford","1051-1377","Journal of Housing Economics",,"19",1,4,"417",,,,"Economics, Business and Management"
12624,"Oxford","0047-2484","Journal of Human Evolution",,"58-59",2,12,"1619",,,,"Life Sciences"
06069,"Oxford","1570-6443","Journal of Hydro-environment Research",,"4",1,4,"364",,,,"Engineering, Energy and Technology"
04103,"Oxford","1001-6058","Journal of Hydrodynamics",,"22",1,6,"631",,,,"Engineering, Energy and Technology"
05344,"Oxford","0022-1694","Journal of Hydrology",,"380-395",16,64,"6687",,,,"Earth and Planetary Sciences"
05055,"Oxford","0022-1759","Journal of Immunological Methods",,"356-367",12,24,"6420",,,,"Life Sciences"
08620,"Oxford","1226-086X","Journal of Industrial and Engineering Chemistry",,"16",1,6,"499",,,,"Chemistry and Chemical Engineering"
12631,"Oxford","0163-4453","Journal of Infection",,"60-61",2,12,"980",,,,"Medicine"
05613,"Oxford","1876-0341","Journal of Infection and Public Health",,"3",1,4,"448",,,,"Medicine"
04091,"Oxford","1751-1577","Journal of Informetrics",,"4",1,4,"472",,,,"Social and Behavioral Sciences"
07711,"Oxford","0162-0134","Journal of Inorganic Biochemistry",,"104",1,12,"3009",,,,"Chemistry and Chemical Engineering"
00231,"Oxford","0022-1910","Journal of Insect Physiology",,"56",1,12,"3099",,,,"Agricultural and Biological Sciences"
07816,"Oxford","1094-9968","Journal of Interactive Marketing",,"24",1,4,"1252",,,,"Economics, Business and Management"
07424,"Oxford","1061-9518","Journal of International Accounting, Auditing and Taxation",,"19",1,2,"443",,,,"Economics, Business and Management"
05395,"Oxford","0022-1996","Journal of International Economics",,"80-82",3,6,"1632",,,,"Economics, Business and Management"
05442,"Oxford","1042-4431","Journal of International Financial Markets, Institutions & Money",,"20",1,5,"424",,,,"Economics, Business and Management"
07684,"Oxford","1075-4253","Journal of International Management",,"16",1,4,"789",,,,"Economics, Business and Management"
03055,"Oxford","0261-5606","Journal of International Money and Finance",,"29",1,8,"1361",,,,"Economics, Business and Management"
12071,"Oxford","0022-2011","Journal of Invertebrate Pathology",,"103-105",3,9,"1601",,,,"Life Sciences"
04258,"Oxford","1006-706X","Journal of Iron and Steel Research, International",,"17",1,6,,,,,"Physics and Astronomy"
08679,"Oxford","1018-3647","Journal of King Saud University - Science",,,,,,,,,"Multidiscipline"
03056,"Oxford","0950-4230","Journal of Loss Prevention in the Process Industries",,"23",1,6,"1614",,,,"Chemistry and Chemical Engineering"
05202,"Oxford","0022-2313","Journal of Luminescence",,"130",1,12,"3484",,,,"Physics and Astronomy"
05470,"Oxford","0164-0704","Journal of Macroeconomics",,"32",1,4,"349",,,,"Economics, Business and Management"
12076,"Oxford","1090-7807","Journal of Magnetic Resonance",,"202-207",6,12,"4785",,,,"Chemistry and Chemical Engineering"
05203,"Oxford","0304-8853","Journal of Magnetism and Magnetic Materials",,"322",1,24,"10078",,,,"Physics and Astronomy"
13026,"Orlando, FL","0161-4754","Journal of Manipulative and Physiological Therapeutics",,"33",1,9,"341",272,,,"Health Professions"
01056,"Oxford","1526-6125","Journal of Manufacturing Processes",,"12",1,2,"480",,,,"Engineering, Energy and Technology"
02092,"Oxford","0278-6125","Journal of Manufacturing Systems",,"29",1,4,"946",,,,"Engineering, Energy and Technology"
04083,"Oxford",,"Journal of Manufacturing Systems with Journal of Manufacturing Processes (Combined Subscription)",,"2010",2,6,"1078",,,,"Engineering, Energy and Technology"
05345,"Oxford","0924-7963","Journal of Marine Systems
Also available as part of the Oceanography Package",,"79-83",5,20,"3028",,,,"Earth and Planetary Sciences"
06017,"Oxford","0924-0136","Journal of Materials Processing Technology",,"210",1,15,"6436",,,,"Engineering, Energy and Technology"
12073,"Oxford","0022-247X","Journal of Mathematical Analysis and Applications",,"361-372",12,24,"7382",,,,"Mathematics"
06018,"Oxford","0304-4068","Journal of Mathematical Economics",,"46",1,6,"1964",,,,"Economics, Business and Management"
12075,"Oxford","0022-2496","Journal of Mathematical Psychology
Reduced personal subscriptions are available to members of the Society for Mathematical Psychology,The Psychonomic Society, American Psychological Association and the Association for Psychological Science. Please contact your nearest regional sales office for details.",,"54",1,6,"1183",,,,"Social and Behavioral Sciences"
08616,"Oxford","1000-1948","Journal of Medical Colleges of PLA",,"26",1,6,"304",,,,"Medicine"
13431,"Orlando, FL","1939-8654","Journal of Medical Imaging and Radiation Sciences",,"41",1,4,"146",146,,,"Health Professions"
08594,"Oxford","0929-6441","Journal of Medical Ultrasound",,,,,"264",,,,"Medicine"
01005,"Oxford","0304-4181","Journal of Medieval History",,"36",1,4,"724",,,,"Arts and Humanities"
05163,"Oxford","0376-7388","Journal of Membrane Science",,"345-364",20,40,"8689",,,,"Chemistry and Chemical Engineering"
12074,"Oxford","0749-596X","Journal of Memory and Language
Reduced personal subscriptions are available to members of the American Psychological Association, Association for Psychological Science, The Psychonomic Society, The International Neuropsychological Society, Cognitive Neuroscience Society and the American Speech-Language-Hearing Association. Please contact your nearest regional sales office for details.",,"62-63",2,8,"1117",,,,"Social and Behavioral Sciences"
05488,"Oxford","1875-6867","Journal of Men's Health",,"7",1,4,"688",,,,"Medicine"
05058,"Oxford","0167-7012","Journal of Microbiological Methods",,"80-83",4,12,"3001",,,,"Life Sciences"
07723,"Orlando, FL","1526-9523","Journal of Midwifery & Women's Health",,"55",1,6,"453",420,,,"Nursing"
13372,"Orlando, FL","1553-4650","Journal of Minimally Invasive Gynecology",,"17",1,6,"320",320,,,"Medicine"
12615,"Oxford","0022-2836","Journal of Molecular Biology",,"395-404",10,50,"7677",,,,"Life Sciences"
05168,"Oxford",,"Journal of Molecular Catalysis A+B (Combined Subscription)",,"2010",24,60,"8344",,,,"Chemistry and Chemical Engineering"
05166,"Oxford","1381-1169","Journal of Molecular Catalysis A: Chemical",,"315-332",18,36,"7112",,,,"Chemistry and Chemical Engineering"
05167,"Oxford","1381-1177","Journal of Molecular Catalysis B: Enzymatic",,"63-68",6,24,"1405",,,,"Chemistry and Chemical Engineering"
07721,"Oxford","1093-3263","Journal of Molecular Graphics and Modelling",,"28",1,8,"1468",,,,"Chemistry and Chemical Engineering"
05169,"Oxford","0167-7322","Journal of Molecular Liquids",,"151-157",7,21,"3547",,,,"Chemistry and Chemical Engineering"
12077,"Oxford","0022-2852","Journal of Molecular Spectroscopy",,"259-264",6,12,"3772",,,,"Chemistry and Chemical Engineering"
05170,"Oxford","0022-2860","Journal of Molecular Structure",,"963-984",22,66,"9091",,,,"Chemistry and Chemical Engineering"
05171,"Oxford",,"Journal of Molecular Structure with Journal of Molecular Structure: THEOCHEM (Combined Subscription)",,"2010",46,138,"17340",,,,"Chemistry and Chemical Engineering"
05164,"Oxford","0166-1280","Journal of Molecular Structure: THEOCHEM",,"939-962",24,72,"9951",,,,"Chemistry and Chemical Engineering"
12614,"Oxford","0022-2828","Journal of Molecular and Cellular Cardiology",,"48-49",2,12,"3481",,,,"Medicine"
05398,"Oxford","0304-3932","Journal of Monetary Economics",,"57",1,8,"2220",,,,"Economics, Business and Management"
05443,"Oxford","1042-444X","Journal of Multinational Financial Management",,"20",1,5,"421",,,,"Economics, Business and Management"
12078,"Oxford","0047-259X","Journal of Multivariate Analysis",,"101",1,10,"1948",,,,"Mathematics"
08617,"Oxford","1007-4376","Journal of Nanjing Medical University",,"25",1,6,"304",,,,"Medicine"
06064,"Oxford","1003-9953","Journal of Natural Gas Chemistry",,"19",1,4,"502",,,,"Chemistry and Chemical Engineering"
08655,"Oxford","1875-5100","Journal of Natural Gas Science andEngineering",,"2",1,6,"671",,,,"Earth and Planetary Sciences"
12606,"Oxford","1355-1841","Journal of Neonatal Nursing",,"16",1,6,"461",,,,"Nursing"
12653,"Oxford","1084-8045","Journal of Network and Computer Applications",,"33",1,6,"944",,,,"Computer Science"
05060,"Oxford","0165-5728","Journal of Neuroimmunology",,"218-229",12,24,"5973",,,,"Neuroscience"
00866,"Oxford","0911-6044","Journal of Neurolinguistics
Reduced personal subscriptions are available to members of the International Association of Logopedics and Phoniatrics, American Speech-Language-Hearing Association, The Academy of Aphasia, Linguistic Society of America, The International Neuropsychological Society, Association for Psychological Science, Cognitive Neuroscience Society and the American Psychological Association. Please contact your nearest regional sales office for details.",,"23",1,6,"890",,,,"Social and Behavioral Sciences"
15564,"Paris","0150-9861","Journal of Neuroradiology",,"37",1,5,"490",,,,"Life Sciences"
05061,"Oxford","0165-0270","Journal of Neuroscience Methods
Also available as part of the Neuroscience Package - Option 2",,"185-193",9,18,"5486",,,,"Neuroscience"
05204,"Oxford","0022-3093","Journal of Non-Crystalline Solids",,"356",1,54,"10436",,,,"Materials Science"
05172,"Oxford","0377-0257","Journal of Non-Newtonian Fluid Mechanics",,"165",1,24,"4292",,,,"Engineering, Energy and Technology"
05205,"Oxford","0022-3115","Journal of Nuclear Materials",,"396-407",12,36,"9079",,,,"Engineering, Energy and Technology"
12079,"Oxford","0022-314X","Journal of Number Theory",,"130",1,12,"2559",,,,"Mathematics"
13410,"Orlando, FL","1499-4046","Journal of Nutrition Education and Behavior",,"42",1,6,"427",384,,,"Nursing"
05400,"Oxford","0272-6963","Journal of Operations Management",,"28",1,6,"671",,,,"Economics, Business and Management"
13068,"Orlando, FL","0278-2391","Journal of Oral and Maxillofacial Surgery","Publication Expansion","68",1,12,"611",437,,,"Dentistry"
06019,"Oxford","0022-328X","Journal of Organometallic Chemistry",,"695",1,26,"13803",,,,"Chemistry and Chemical Engineering"
07725,"Orlando, FL","0885-3924","Journal of Pain and Symptom Management",,"39-40",2,12,"1193","1,072",,,"Medicine"
12080,"Oxford","0743-7315","Journal of Parallel and Distributed Computing",,"70",1,12,"1241",,,,"Computer Science"
13176,"Orlando, FL","0891-5245","Journal of Pediatric Health Care",,"24",1,6,"308",269,,,"Nursing"
13162,"Orlando, FL","0882-5963","Journal of Pediatric Nursing",,"25",1,6,"371",268,,,"Nursing"
13069,"Orlando, FL","0022-3468","Journal of Pediatric Surgery",,"45",1,12,"1041",894,,,"Medicine"
04070,"Oxford","1477-5131","Journal of Pediatric Urology",,"6",1,6,"508",,,,"Medicine"
07752,"Orlando, FL","1083-3188","Journal of Pediatric and Adolescent Gynecology",,"23",1,6,"732",696,,,"Medicine"
13187,"Orlando, FL","1089-9472","Journal of PeriAnesthesia Nursing",,"25",1,6,"428",309,,,"Nursing"
05346,"Oxford","0920-4105","Journal of Petroleum Science and Engineering",,"70-74",5,20,"2284",,,,"Earth and Planetary Sciences"
05173,"Oxford","0731-7085","Journal of Pharmaceutical and Biomedical Analysis",,"51-53",3,15,"3856",,,,"Chemistry and Chemical Engineering"
07726,"Oxford","1056-8719","Journal of Pharmacological and Toxicological Methods",,"61-62",2,6,"1762",,,,"Pharmacology, Pharmaceutical Science and Toxicology"
12626,"Oxford","0095-4470","Journal of Phonetics
Discounted subscription rates are available to the members of the American Speech-Language-Hearing Association (ASHA), the International Phonetic Association (IPA), the International Speech Communication Association and the Linguistics Society of America (LSA). For more information please contact your regional sales office.",,"38",1,4,"653",,,,"Social and Behavioral Sciences"
06041,"Oxford",,"Journal of Photochemistry and Photobiology A+B+C (Combined Subscription)",,"2010",13,40,"11001",,,,"Chemistry and Chemical Engineering"
06020,"Oxford","1010-6030","Journal of Photochemistry and Photobiology A: Chemistry",,"208-215",8,24,"7098",,,,"Chemistry and Chemical Engineering"
06021,"Oxford","1011-1344","Journal of Photochemistry and Photobiology B: Biology",,"98-101",4,12,"3770",,,,"Life Sciences"
06054,"Oxford","1389-5567","Journal of Photochemistry and Photobiology C: Photochemistry Reviews",,"11",1,4,"720",,,,"Chemistry and Chemical Engineering"
00229,"Oxford","0022-3697","Journal of Physics and Chemistry of Solids",,"71",1,12,"6385",,,,"Physics and Astronomy"
09042,"Oxford","0928-4257","Journal of Physiology - Paris",,"104",1,6,"887",,,,"Neuroscience"
10010,"Jena","0176-1617","Journal of Plant Physiology",,"167",1,18,"2586",,,,"Agricultural and Biological Sciences"
12727,"Oxford","1748-6815","Journal of Plastic, Reconstructive & Aesthetic Surgery",,"63",1,12,"756",,,,"Medicine"
07729,"Oxford","0161-8938","Journal of Policy Modeling",,"32",1,6,"909",,,,"Economics, Business and Management"
06022,"Oxford","0378-7753","Journal of Power Sources",,"195",1,24,"5072",,,,"Engineering, Energy and Technology"
05291,"Oxford","0378-2166","Journal of Pragmatics
Discounted subscription rates are available to the members of the International Pragmatics Association (IPrA). For more information please contact your regional sales office.",,"42",1,12,"1221",,,,"Social and Behavioral Sciences"
03057,"Oxford","0959-1524","Journal of Process Control",,"20",1,10,"1491",,,,"Engineering, Energy and Technology"
13189,"Orlando, FL","8755-7223","Journal of Professional Nursing",,"26",1,6,"399",308,,,"Nursing"
13029,"Orlando, FL","0022-3913","Journal of Prosthetic Dentistry",,"103-104",2,12,"713",608,,,"Dentistry"
05616,"Oxford","1883-1958","Journal of Prosthodontic Research",,"54",1,4,"295",,,,"Dentistry"
05052,"Oxford","1874-3919","Journal of Proteomics
Volumes 1-70 published as ISSN 0165-022X","Publication Expansion","73",1,12,"2124",,,,"Medicine"
00241,"Oxford","0022-3956","Journal of Psychiatric Research",,"44",1,16,"2197",,,,"Medicine"
07550,"Orlando, FL","0022-3999","Journal of Psychosomatic Research",,"68-69",2,12,"2902","2,553",,,"Medicine"
06023,"Oxford","0047-2727","Journal of Public Economics",,"94",1,12,"2706",,,,"Economics, Business and Management"
03028,"Oxford","1478-4092","Journal of Purchasing & Supply Management",,"16",1,4,"577",,,,"Economics, Business and Management"
05292,"Oxford","0022-4049","Journal of Pure and Applied Algebra",,"214",1,12,"3435",,,,"Mathematics"
00272,"Oxford","0022-4073","Journal of Quantitative Spectroscopy & Radiative Transfer",,"111",1,18,"7165",,,,"Physics and Astronomy"
13356,"Orlando, FL","1546-0843","Journal of Radiology Nursing",,"29",1,4,"192",145,,,"Medicine"
08561,"Oxford","1002-0721","Journal of Rare Earths",,"28",1,6,"382",,,,"Chemistry and Chemical Engineering"
13264,"Orlando, FL","1051-2276","Journal of Renal Nutrition",,"20",1,6,"370",323,,,"Medicine"
08618,"Oxford","1001-7844","Journal of Reproduction and Contraception",,"22",1,4,"203",,,,"Medicine"
08034,"Oxford","0165-0378","Journal of Reproductive Immunology",,"85-88",4,8,"1492",,,,"Medicine"
12081,"Oxford","0092-6566","Journal of Research in Personality",,"44",1,6,"748",,,,"Social and Behavioral Sciences"
07427,"Oxford","0022-4359","Journal of Retailing",,"86",1,4,"476",,,,"Economics, Business and Management"
03058,"Oxford","0969-6989","Journal of Retailing and Consumer Services",,"17",1,6,"932",,,,"Economics, Business and Management"
00348,"Oxford","0743-0167","Journal of Rural Studies",,"26",1,4,"900",,,,"Social and Behavioral Sciences"
00679,"Oxford","0022-4375","Journal of Safety Research",,"41",1,6,"1114",,,,"Social and Behavioral Sciences"
08693,"Oxford","1319-6103","Journal of Saudi Chemical Society",,,,,,,,,"Chemistry and Chemical Engineering"
00699,"Oxford","0022-4405","Journal of School Psychology
Reduced personal subscriptions are available to members of the American Psychological Association Division 16 and the National Association of School Psychologists. Please contact your nearest regional sales office for details.",,"48",1,6,"521",,,,"Social and Behavioral Sciences"
04244,"Oxford","1440-2440","Journal of Science and Medicine in Sport",,"13",1,6,"392",,,,"Medicine"
05453,"Oxford","1385-1101","Journal of Sea Research",,"63-64",2,8,"770",,,,"Earth and Planetary Sciences"
07458,"Oxford","1060-3743","Journal of Second Language Writing
Discounted subscription rates are available to the members of the American Association for Applied Linguistics (AAAL), the British Association for Applied Linguistics (BAAL), the Conference on College Composition and Communication (CCCC), the International Association of Teachers of English as a Foreign Language (IATEFL), the Japan Association for Language Teaching and Teachers of English to Speakers of Other Languages (TESOL). For more information please contact your regional sales office.",,"19",1,4,"400",,,,"Social and Behavioral Sciences"
13085,"Orlando, FL","1058-2746","Journal of Shoulder and Elbow Surgery",,"19",1,6,"476",397,,,"Medicine"
07430,"Oxford","1053-5357","Journal of Socio-Economics",,"39",1,6,"677",,,,"Economics, Business and Management"
12084,"Oxford","0022-4596","Journal of Solid State Chemistry",,"183",1,12,"5312",,,,"Chemistry and Chemical Engineering"
12616,"Oxford","0022-460X","Journal of Sound and Vibration",,"329",1,26,"8196",,,,"Engineering, Energy and Technology"
00839,"Oxford","0895-9811","Journal of South American Earth Sciences
Also available as part of the Geoscience Package",,"29-30",2,8,"1264",,,,"Earth and Planetary Sciences"
05401,"Oxford","0378-3758","Journal of Statistical Planning and Inference",,"140",1,12,"4420",,,,"Mathematics"
00306,"Oxford","0022-474X","Journal of Stored Products Research",,"46",1,4,"1426",,,,"Economics, Business and Management"
13324,"Orlando, FL","1052-3057","Journal of Stroke & Cerebrovascular Diseases",,"19",1,6,"513",420,,,"Medicine"
12082,"Oxford","1047-8477","Journal of Structural Biology",,"169-172",4,12,"1359",,,,"Life Sciences"
00539,"Oxford","0191-8141","Journal of Structural Geology",,"32",1,12,"2002",,,,"Earth and Planetary Sciences"
07553,"Orlando, FL","0740-5472","Journal of Substance Abuse Treatment",,"38-39",2,8,"1090",968,,,"Medicine"
07589,"Orlando, FL","1931-7204","Journal of Surgical Education",,"67",1,6,"413",299,,,"Medicine"
12083,"Orlando, FL","0022-4804","Journal of Surgical Research",,"158-164",7,14,"2359","2,075",,,"Medicine"
12654,"Oxford","0747-7171","Journal of Symbolic Computation
NEW!! Elsevier's Theoretical Computer Science Student Collection 
This journal is included in a bundle of 12 premier Theoretical Computer Science journals at a discounted student rate: 
 Click here for more information on eligibility AND/OR to get your online personal student collection today!",,"45",1,12,"1074",,,,"Mathematics"
05299,"Oxford","1383-7621","Journal of Systems Architecture",,"56",1,12,"1610",,,,"Computer Science"
07735,"Oxford","0164-1212","Journal of Systems and Software",,"83",1,12,"2427",,,,"Computer Science"
00302,"Oxford","0022-4898","Journal of Terramechanics",,"47",1,6,"1044",,,,"Engineering, Energy and Technology"
13309,"Orlando, FL","0190-9622","Journal of The American Academy of Dermatology",,"62-63",2,12,"782",677,,,"Medicine"
07682,"Orlando, FL","1072-7515","Journal of The American College of Surgeons",,"210-211",2,12,"714",415,,,"Medicine"
13340,"Orlando, FL","0002-8223","Journal of The American Dietetic Association",,"110",1,12,"470",456,,,"Nursing"
07722,"Oxford","1044-0305","Journal of The American Society for Mass Spectrometry",,"21",1,12,"514",,,,"Chemistry and Chemical Engineering"
13242,"Orlando, FL","0894-7317","Journal of The American Society of Echocardiography",,"23",1,12,"549",447,,,"Medicine"
13353,"Orlando, FL","1535-5535","Journal of The Association for Laboratory Automation",,"15",1,6,"422",365,,,"Medicine"
00334,"Oxford","0016-0032","Journal of The Franklin Institute",,"347",1,10,"2409",,,,"Engineering, Energy and Technology"
12617,"Oxford","0022-5193","Journal of Theoretical Biology",,"262-267",6,24,"5056",,,,"Agricultural and Biological Sciences"
00383,"Oxford","0306-4565","Journal of Thermal Biology",,"35",1,8,"1654",,,,"Life Sciences"
13088,"Orlando, FL","0022-5223","Journal of Thoracic and Cardiovascular Surgery",,"139-140",2,12,"908",797,,,"Medicine"
04107,"Oxford","0965-206X","Journal of Tissue Viability",,"19",1,4,"466",,,,"Medicine"
10014,"Jena","0946-672X","Journal of Trace Elements in Medicine and Biology",,"24",1,4,"747",,,,"Medicine"
06075,"Oxford","0254-6272","Journal of Traditional Chinese Medicine",,"30",1,4,"253",,,,"Health Professions"
03060,"Oxford","0966-6923","Journal of Transport Geography",,"18",1,6,"569",,,,"Social and Behavioral Sciences"
04290,"Oxford","1570-6672","Journal of Transportation Systems Engineering and Information Technology",,"10",1,6,,,,,"Economics, Business and Management"
15800,"Oxford","1971-3495","Journal of Ultrasound",,"13",1,4,"622",,,,"Health Professions"
12085,"Oxford","0094-1190","Journal of Urban Economics",,"67-68",2,6,"1266",,,,"Economics, Business and Management"
13181,"Orlando, FL","1062-0303","Journal of Vascular Nursing",,"28",1,4,"216",182,,,"Nursing"
13089,"Orlando, FL","0741-5214","Journal of Vascular Surgery",,"51-52",2,12,"898",784,,,"Medicine"
13411,"Orlando, FL","1558-7878","Journal of Veterinary Behavior: Clinical Applications and Research",,"5",1,6,"248",224,,,"Veterinary Science and Veterinary Medicine"
05509,"Oxford","1760-2734","Journal of Veterinary Cardiology",,"12",1,3,"263",,,,"Veterinary Science and Veterinary Medicine"
05064,"Oxford","0166-0934","Journal of Virological Methods",,"163-170",8,16,"4919",,,,"Life Sciences"
05065,"Oxford",,"Journal of Virological Methods with Journal of Clinical Virology (Combined Subscription)",,"2010",11,28,"6393",,,,"Life Sciences"
15866,"Oxford",,"Journal of Visceral Surgery","New","147",1,6,"564",,,,"Medicine"
12087,"Oxford","1047-3203","Journal of Visual Communication and Image Representation",,"21",1,8,"858",,,,"Computer Science"
12682,"Oxford","1045-926X","Journal of Visual Languages and Computing",,"21",1,6,"581",,,,"Computer Science"
12086,"Oxford","0001-8791","Journal of Vocational Behavior",,"76-77",2,6,"1156",,,,"Social and Behavioral Sciences"
13343,"Orlando, FL","0892-1997","Journal of Voice",,"24",1,6,"459",415,,,"Medicine"
05347,"Oxford","0377-0273","Journal of Volcanology and Geothermal Research",,"189-198",10,40,"3744",,,,"Earth and Planetary Sciences"
05480,"Oxford","1570-8268","Journal of Web Semantics
Quarterly electronic publication; yearly archival print volume in December",,"8",1,4,"489",,,,"Social and Behavioral Sciences"
05207,"Oxford","0167-6105","Journal of Wind Engineering & Industrial Aerodynamics",,"98",1,12,"3486",,,,"Engineering, Energy and Technology"
07432,"Oxford","1090-9516","Journal of World Business",,"45",1,4,"447",,,,"Economics, Business and Management"
13450,"Orlando, FL","0890-8567","Journal of the American Academy of Child and Adolescent Psychiatry","Newly Acquired","49",1,12,"588",480,,,"Medicine"
13357,"Orlando, FL","1546-1440","Journal of the American College of Radiology",,"7",1,12,"276",255,,,"Medicine"
13380,"Orlando, FL","1525-8610","Journal of the American Medical Directors Association",,"11",1,9,"402",332,,,"Medicine"
13424,"Orlando, FL","1933-1711","Journal of the American Society of Hypertension",,"4",1,6,"377",311,,,"Medicine"
13379,"Orlando, FL","1055-3290","Journal of the Association of Nurses in AIDS Care",,"21",1,6,"501",453,,,"Nursing"
08590,"Oxford","1726-4901","Journal of the Chinese Medical Association",,"73",1,12,"580",,,,"Medicine"
02036,"Oxford","0955-2219","Journal of the European Ceramic Society",,"30",1,16,"4194",,,,"Materials Science"
08591,"Oxford","0929-6646","Journal of the Formosan Medical Association",,"109",1,12,"633",,,,"Medicine"
12072,"Oxford","0889-1583","Journal of the Japanese and International Economies",,"24",1,4,"625",,,,"Economics, Business and Management"
08629,"Oxford","1226-3192","Journal of the Korean Statistical Society",,"39",1,4,"333",,,,"Mathematics"
03080,"Oxford","1751-6161","Journal of the Mechanical Behavior of Biomedical Materials","Publication Expansion","3",1,8,"1091",,,,"Engineering, Energy and Technology"
00220,"Oxford","0022-5096","Journal of the Mechanics and Physics of Solids",,"58",1,12,"4575",,,,"Engineering, Energy and Technology"
05063,"Oxford","0022-510X","Journal of the Neurological Sciences",,"288-299",12,24,"4583",,,,"Neuroscience"
08681,"Oxford","1016-7315 ","Journal of the Saudi Heart Association",,,,,,,,,"Medicine"
08611,"Oxford","1876-1070","Journal of the Taiwan Institute of Chemical Engineers",,"41",1,6,"597",,,,"Chemistry and Chemical Engineering"
15516,"Paris","1779-0123","Kinesitherapie, La Revue",,"86",1,12,"356",,,,"Life Sciences"
05293,"Oxford","0950-7051","Knowledge-Based Systems",,"23",1,8,"1319",,,,"Computer Science"
10058,"Oxford","1863-8678","Komplementare und integrative Medizin",,"51",1,12,"250",,,,"Medicine"
10044,"Jena","0720-3373","Krankenhaus-Hygiene + Infektionsverhutung (in deutscher Sprache / in German)",,"32",1,6,"167",,,,"Medicine"
09090,"Paris","1166-3413","L'Aide Soignante",,"113-122",10,10,"144",,,,"Social and Behavioral Sciences"
09087,"Paris","0003-5521","L'Anthropologie",,"114",1,5,"599",,,,"Arts and Humanities"
15539,"Paris","0013-7006","L'Encephale",,"36",1,6,"303",,,,"Life Sciences"
09035,"Paris","0014-3855","L'Evolution Psychiatrique",,"75",1,4,"316",,,,"Medicine"
10045,"Jena","0944-405X","L.O.G.O.S. INTERDISZIPLINAR (in deutscher Sprache / in German)",,"18",1,4,"103",,,,"Medicine"
12618,"Oxford","0023-6438","LWT- Food Science and Technology",,"43",1,10,"770",,,,"Agricultural and Biological Sciences"
15100,"Paris","0755-4982","La Presse Medicale",,"39",1,11,"639",,,,"Medicine"
15841,"Paris","1637-4088","La Revue Sage-Femme",,"9",1,6,"205",,,,"Life Sciences"
15868,"Oxford","1878-9730","La Revue dHomeopathie",,,,,,,,,"Health Professions"
09061,"Paris","0248-8663","La Revue de Medecine Interne",,"31",1,12,"614",,,,"Medicine"
15864,"Oxford",,"La Revue de Medecine Legale","New","1",1,4,"347",,,,"Social and Behavioral Sciences"
05404,"Oxford","0927-5371","Labour Economics",,"17",1,6,"628",,,,"Economics, Business and Management"
03063,"Oxford","0264-8377","Land Use Policy",,"27",1,4,"990",,,,"Social and Behavioral Sciences"
05117,"Oxford","0169-2046","Landscape and Urban Planning",,"94-98",5,20,"2145",,,,"Environmental Sciences"
00616,"Oxford","0271-5309","Language & Communication
Discounted subscription rates are available to the members of the International Communication Association (ICA). For more information please contact your regional sales office.",,"30",1,4,"726",,,,"Social and Behavioral Sciences"
01016,"Oxford",,"Language & Communication with Language Sciences (Combined Subscription)",,"2010",2,10,"1544",,,,"Social and Behavioral Sciences"
00867,"Oxford","0388-0001","Language Sciences
Discounted subscription rates are available to the members of the Linguistics Society of America (LSA). For more information please contact your regional sales office.",,"32",1,6,"988",,,,"Social and Behavioral Sciences"
13381,"San Diego, CA","1553-9555","Law Officers Magazine",,"6",1,12,"75",40,65,,"Social and Behavioral Sciences"
15845,"Paris","0768-9179","Le Pharmacien Hospitalier",,"45",1,4,"147",,,,"Life Sciences"
15850,"Paris","1279-7960","Le Praticien en Anesthesie Reanimation",,"14",1,6,"278",,,,"Life Sciences"
07434,"Oxford","1041-6080","Learning and Individual Differences","Publication Expansion","20",1,6,"412",,,,"Social and Behavioral Sciences"
00956,"Oxford","0959-4752","Learning and Instruction
Also available as part of a combined subscription (International Journal of Educational Research including Learning and Instruction).",,"20",1,6,"770",,,,"Social and Behavioral Sciences"
12088,"Oxford","0023-9690","Learning and Motivation
Reduced personal subscriptions are available to members of the Animal Behavior Society, Psychonomic Society, American Psychological Association and the Association for Psychological Science. Please contact your nearest regional sales office for details.",,"41",1,4,"722",,,,"Social and Behavioral Sciences"
08143,"Oxford","1344-6223","Legal Medicine
Also available as part of the Forensic Science and Legal Medicine Package",,"12",1,6,"368",,,,"Medicine"
15405,"Paris","0980-3482","Les Cahiers de L'Audition",,"22",1,6,"203",,,,"Economics, Business and Management"
